psychemergency.bandcamp.com,Psych Emergency - EP,9918583267602836,Psych Emergency EP ,https://psychemergency.bandcamp.com/album/psych-emergency-ep
racketsonline.bandcamp.com,Walking The Skeleton,9918583265802836,Walking the skeleton ,https://racketsonline.bandcamp.com/album/walking-the-skeleton
racketsonline.bandcamp.com,Walking The Skeleton,9918583265802836,Walking the skeleton ,https://racketsonline.bandcamp.com/album/walking-the-skeleton
mtravis.bandcamp.com,Residential Evil,9918577664602836,Residential evil ,https://mtravis.bandcamp.com/album/residential-evil
mtravis.bandcamp.com,Residential Evil,9918577664602836,Residential evil ,https://mtravis.bandcamp.com/album/residential-evil
sleepingcorpse.bandcamp.com,Condemned,9918586260902836,Condemned.,https://sleepingcorpse.bandcamp.com/album/condemned
sleepingcorpse.bandcamp.com,Condemned,9918586260902836,Condemned.,https://sleepingcorpse.bandcamp.com/album/condemned
sleepingcorpse.bandcamp.com,Death,9918586261802836,Death ,https://sleepingcorpse.bandcamp.com/album/death
sleepingcorpse.bandcamp.com,Death,9918586261802836,Death ,https://sleepingcorpse.bandcamp.com/album/death
sleepingcorpse.bandcamp.com,Drawn Parallel,9918586260602836,Drawn parallel ,https://sleepingcorpse.bandcamp.com/album/drawn-parallel
sleepingcorpse.bandcamp.com,Drawn Parallel,9918586260602836,Drawn parallel ,https://sleepingcorpse.bandcamp.com/album/drawn-parallel
sleepingcorpse.bandcamp.com,Veils Of Perception,9918586262002836,Veils of perception ,https://sleepingcorpse.bandcamp.com/album/veils-of-perception
sleepingcorpse.bandcamp.com,Veils Of Perception,9918586262002836,Veils of perception ,https://sleepingcorpse.bandcamp.com/album/veils-of-perception
sleepingcorpse.bandcamp.com,Infinity Drowning / Dusty Existence,9918586261302836,"Infinity drowning, dusty existence ",https://sleepingcorpse.bandcamp.com/album/infinity-drowning-dusty-existence
sleepingcorpse.bandcamp.com,Infinity Drowning / Dusty Existence,9918586261302836,"Infinity drowning, dusty existence ",https://sleepingcorpse.bandcamp.com/album/infinity-drowning-dusty-existence
sleepingcorpse.bandcamp.com,Nightmare Ritual,9918586259902836,Nightmare ritual ,https://sleepingcorpse.bandcamp.com/album/nightmare-ritual
