Album,Artist,Year,URL,Track number,Track name,Filename,ID,Folder,Correct folder
Live The Nakey Dream,Nakey,2015,http://nakey.bandcamp.com,1,The Cheed,Nakey - Live The Nakey Dream - 01 The Cheed.flac,2569,Nakey - Live The Nakey Dream,Nakey - Live The Nakey Dream
Name UL x LMC EP,Name UL,2015,http://nameul.bandcamp.com,1,Mavelli Drive (Prod. LMC),Name UL - Name UL x LMC EP - 01 Mavelli Drive (Prod_ LMC).flac,2574,Name UL - Name UL x LMC EP,Name UL - Name UL x LMC EP
Summit,Name UL,2013,http://nameul.bandcamp.com,1,Generation Why (Feat. Nick Gaffaney) (Prod. Why S.L),Name UL - Summit - 01 Generation Why (Feat_ Nick Gaffaney) (Prod_ Why S_L).flac,2577,Name UL - Summit,Name UL - Summit
Hostilities,Nargler,2015,http://louissmith.bandcamp.com,1,The Seizure Machine,Nargler - Hostilities - 01 The Seizure Machine.flac,2580,Nargler - Hostilities,Nargler - Hostilities
It will remember itself,Narrowing Weeks,2015,http://jeremymayall.bandcamp.com,1,stores of morning,Narrowing Weeks - It will remember itself - 01 stores of morning.flac,2591,Narrowing Weeks - It will remember itself,Narrowing Weeks - It will remember itself
Nation,Nation,2016,http://nationband.bandcamp.com,1,Fumes,Nation - Nation - 01 Fumes.flac,2600,Nation - Nation,Nation - Nation
Negative Capability,Negative Capability,2015,http://negativecapability.bandcamp.com,1,Desert One,Negative Capability - Negative Capability - 01 Desert One.flac,2604,Negative Capability - Negative Capability,Negative Capability - Negative Capability
Nervous Jerk (2014),Nervous Jerk,2014,http://nervousjerk.bandcamp.com,1,In Your Car,Nervous Jerk - Nervous Jerk (2014) - 01 In Your Car.flac,2608,Nervous Jerk - Nervous Jerk (2014),Nervous Jerk - Nervous Jerk (2014)
Weakdays,Nervous Jerk,2015,http://nervousjerk.bandcamp.com,1,Waiting,Nervous Jerk - Weakdays - 01 Waiting.flac,2612,Nervous Jerk - Weakdays,Nervous Jerk - Weakdays
2014,Nevenko & The Talent,2014,http://thetalent.bandcamp.com,1,Sammy,Nevenko & The Talent - 2014 - 01 Sammy.flac,2619,Nevenko & The Talent - 2014,Nevenko & The Talent - 2014
Magnetics,NiC,2015,http://nic94music.bandcamp.com,1,Alleyz (Prod Joe Mack),NiC - Magnetics - 01 Alleyz (Prod Joe Mack).flac,2626,NiC - Magnetics,NiC - Magnetics
